WARM MATRIX -- assembled once, compiled once, then measured. Seconds unless stated.
MEASURED 2026-09-16 10:36 on AMD Ryzen 7 3700X 8-Core Processor, PC-Timo; repeats=3.
TREE: HEAD e84cad95; COTTAX: a3e4c56 at /tmp/claude-1000/-home-tbogaarts-PROCESS/b8cad2d4-fe38-443b-8f03-4ae5dd539755/scratchpad/jaxgraph_head/src.
`XLA` is summed over every block-program call; `host` is the rest of the solve, which is
the optimiser's own cost. See this module's docstring for why the cold matrix cannot answer this.

configuration          arm  driver    it     status            objf     wall      XLA     host  calls  ms/call
--------------------------------------------------------------------------------------------------------------
stellarator_helias     MDF  VMCON     40  converged      1.21844143    0.516    0.149    0.367     79    1.899
stellarator_helias     MDF  SLSQP     27  converged      1.21844143    0.141    0.078    0.063     65    0.909
stellarator_helias     SAND VMCON     43  converged      1.21844143    0.800    0.158    0.642     85    1.917
stellarator_helias     SAND SLSQP     88  converged       1.2183253    0.975    0.586    0.389    590    0.819
helias_5b              MDF  VMCON      4  converged     0.764242162    0.082    0.009    0.073      7    1.331
helias_5b              MDF  SLSQP      5  converged     0.764242162    0.056    0.007    0.049      8    0.914
helias_5b              SAND VMCON      7  converged     0.764242163    0.151    0.020    0.132     13    1.558
helias_5b              SAND SLSQP      7  converged     0.764242163    0.084    0.012    0.072     13    0.792
large_tokamak_nof      MDF  VMCON      7  converged             1.6    0.533    0.329    0.203     13   15.193
large_tokamak_nof      MDF  SLSQP      8  converged             1.6    0.309    0.191    0.119     15    4.632
large_tokamak_nof      SAND VMCON     10  converged             1.6    0.322    0.100    0.222     19    5.285
large_tokamak_nof      SAND SLSQP     13  converged             1.6    0.285    0.131    0.154     26    4.787
large_tokamak_eval     MDF  VMCON      3  converged               -    0.070    0.000    0.070      0    0.000
large_tokamak_eval     MDF  SLSQP      3  converged               -    0.076    0.000    0.076      0    0.000
low_aspect_ratio_DEMO  MDF  VMCON     11  converged    -0.406312732    0.963    0.718    0.245     21   23.998
low_aspect_ratio_DEMO  MDF  SLSQP     12  converged    -0.406312732    0.555    0.444    0.111     22   10.195
low_aspect_ratio_DEMO  SAND VMCON     79  converged    -0.399155447    2.192    1.194    0.998    157    7.595
low_aspect_ratio_DEMO  SAND SLSQP     17  converged    -0.399155367    0.349    0.203    0.146     52    2.451
spherical_tokamak_eval MDF  VMCON      2  converged               -    0.082    0.000    0.082      0    0.000
spherical_tokamak_eval MDF  SLSQP      2  converged               -    0.066    0.000    0.066      0    0.000
st_regression          MDF  VMCON     10  converged     -16.5885767    0.243    0.074    0.169     19    4.024
st_regression          MDF  SLSQP     10  converged     -16.5885767    0.140    0.052    0.089     19    2.050
st_regression          SAND VMCON     10  converged     -16.5885767    0.280    0.075    0.205     19    3.983
st_regression          SAND SLSQP     10  converged     -16.5885767    0.192    0.051    0.142     19    2.319
